filepath	caption
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9000622L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9000622R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9001104L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9002316L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9002316R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9003430R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9004175L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9006723R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9008322R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9008561L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9008561R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9012435L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9012435R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9013634L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9013798R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9014797R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9016403L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9019287R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9022197R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9025257R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9025994R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9027189L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9027189R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9029415R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9029791R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9031930R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9034644R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9036316L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9036316R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9036771L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9038962L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9039627R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9040456R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9040958R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9041458L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9041458R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9042892L.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9042892R.png	doubtful osteoarthritis
/mnt/g/Datasets/Knee_OA/Original/train/images/doubtful_9043894L.png	doubtful osteoarthritis
